Бумага,ISIN,Эмитент,Отрасль,Рейтинг эмитента АКРА,rating_score,"Индикативная доходность, %",dur_years,Ликвидность,score
"Газпромбанк, 001Р-21Р",RU000A104B46,Газпромбанк,Банки,AA+(RU),5.0,15.159,2.6580273972602737,7.0,113.70000000000002
"ФПК, 002Р-01",RU000A10DYC8,ФПК,Железнодорожный транспорт,AA+(RU),5.0,15.218,1.9402465753424658,7.0,114.30000000000001
"АФК Система, 001P-12",RU000A101012,АФК Система,Холдинги,AA-(RU),3.0,17.573,1.0490958904109589,6.0,114.9
"РЖД, 001P-24R",RU000A104SX0,РЖД,Железнодорожный транспорт,AAA(RU),6.0,14.728,1.0864383561643836,6.0,116.2
"ГТЛК, 001P-12",RU000A0ZZV11,ГТЛК,Лизинг и аренда,AA-(RU),3.0,18.221,0.7053698630136985,6.0,117.0
"Инк-Капитал, 001Р-01",RU000A104A39,Инк-Капитал,Нефтегазовая отрасль,AA(RU),4.0,17.074,0.7613972602739727,6.0,117.1
"Альфа-Банк, БО-21",RU000A0ZYBM4,Альфа-Банк,Банки,AA+(RU),5.0,16.269,0.5921917808219178,6.0,117.19999999999999
"Вымпелком, 001Р-08",RU000A105X80,Вымпелком,Связь и телекоммуникация,AA(RU),4.0,15.281,2.656575342465753,7.0,117.4
"Газпромбанк, 004P-19",RU000A10BF63,Газпромбанк,Банки,AA+(RU),5.0,18.278,1.251945205479452,3.0,117.5
"МТС, БО-02",RU000A0JWRV9,МТС,Связь и телекоммуникация,AAA(RU),6.0,14.773,1.7903561643835617,5.0,118.2
"Роснефть, 002P-08",RU000A100KY3,Роснефть,Нефтегазовая отрасль,AAA(RU),6.0,13.893,2.8936438356164387,5.0,118.3
"Почта России, БО-002P-04",RU000A1055Y4,Почта России,Почтовая и курьерская служба,AA(RU),4.0,16.924,1.3836164383561644,5.0,118.70000000000002
"МБЭС, 001P-01",RU000A100VX2,МБЭС,Банки,AAA(RU),6.0,15.103,1.4037260273972603,4.0,119.0
"Почта России, БО-002P-03",RU000A104W33,Почта России,Почтовая и курьерская служба,AA(RU),4.0,17.292,2.0519178082191782,4.0,119.3
"АФК Система, 001Р-23",RU000A104693,АФК Система,Холдинги,AA-(RU),3.0,18.921,0.9479178082191781,5.0,119.4
"Магнит, БО-004Р-08",RU000A10C618,Магнит,FMCG ретейл,AAA(RU),6.0,14.875,1.3816438356164384,5.0,119.5
"Альфа-Банк, БО-40",RU000A0ZYU21,Альфа-Банк,Банки,AA+(RU),5.0,15.802,0.9785753424657534,6.0,119.80000000000001
"Альфа-Банк, 002Р-30",RU000A10DS66,Альфа-Банк,Банки,AA+(RU),5.0,15.689,1.1692876712328768,6.0,119.89999999999999
"ВЭБ.РФ, ПБО-001Р-26",RU000A1031U3,ВЭБ.РФ,Институты развития и государственные агентства,AAA(RU),6.0,14.662,1.9381643835616438,5.0,120.2
"Газпромбанк, 001Р-19Р",RU000A102GJ8,Газпромбанк,Банки,AA+(RU),5.0,15.673,1.2068493150684931,6.0,120.50000000000001
"МТС, 001P-15",RU000A101NG2,МТС,Связь и телекоммуникация,AAA(RU),6.0,14.897,0.6752602739726027,6.0,121.10000000000001
"Сэтл Групп, 002Р-04",RU000A10B8M0,Сэтл Групп,Строительство зданий,A(RU),1.0,18.173,0.5518082191780822,7.0,121.3
"ГТЛК, 001P-13",RU000A1003A4,ГТЛК,Лизинг и аренда,AA-(RU),3.0,18.439,0.8971780821917809,5.0,121.5
"Славнефть, 001P-03",RU000A1013U1,Славнефть,Нефтегазовая отрасль,AA(RU),4.0,15.85,1.5473698630136985,6.0,121.60000000000001
"РЕСО-Лизинг, БО-П-11",RU000A103C53,РЕСО-Лизинг,Лизинг и аренда,AA-(RU),3.0,16.675,1.2125479452054795,6.0,121.7
"Газпромбанк, 005Р-03Р",RU000A107UA7,Газпромбанк,Банки,AA+(RU),5.0,15.651,1.1449863013698631,6.0,122.1
"АФК Система, 001P-16",RU000A102FS1,АФК Система,Холдинги,AA-(RU),3.0,16.671,1.1671780821917808,6.0,122.9
"Газпромбанк, 004P-06",RU000A108CG0,Газпромбанк,Банки,AA+(RU),5.0,17.507,1.2546849315068493,3.0,123.4
"Сбербанк России, ИОС_PRT_SBRBCI10-5Y-001Р-472R",RU000A103RV8,Сбербанк России,Банки,AAA(RU),6.0,15.285,0.6465753424657534,4.0,123.69999999999999
"Газпромбанк, 001Р-22Р",RU000A105GW4,Газпромбанк,Банки,AA+(RU),5.0,15.412,1.8871506849315067,6.0,123.80000000000001
"ЯТЭК, 001Р-03",RU000A1070L0,ЯТЭК,Нефтегазовая отрасль,A(RU),1.0,17.703,0.5863287671232876,7.0,124.30000000000001
"ГТЛК, 001P-08",RU000A0ZYR91,ГТЛК,Лизинг и аренда,AA-(RU),3.0,18.429,1.3140547945205479,4.0,125.1
"Селектел, 001Р-06R",RU000A10CU89,Селектел,ИТ сервисы и программное обеспечение,A+(RU),2.0,15.888,1.7649041095890412,7.0,126.2
"РЖД, 001Р-29R",RU000A107936,РЖД,Железнодорожный транспорт,AAA(RU),6.0,12.801,3.629232876712329,5.0,126.7
"РЖД, 001P-07R",RU000A0ZZ9R4,РЖД,Железнодорожный транспорт,AAA(RU),6.0,14.779,1.906109589041096,4.0,126.9
"Ростелеком, 001P-02R",RU000A0JXPN8,Ростелеком,Связь и телекоммуникация,AAA(RU),6.0,14.775,1.0017534246575341,5.0,126.9
"Газпромбанк, 003Р-01Р",RU000A106YH6,Газпромбанк,Банки,AA+(RU),5.0,15.586,1.0012328767123286,6.0,127.80000000000001
"РЕСО-Лизинг, БО-П-08",RU000A102K39,РЕСО-Лизинг,Лизинг и аренда,AA-(RU),3.0,16.877,0.7688493150684932,6.0,127.80000000000001
"СИБУР Холдинг, БО-03",RU000A103DS4,СИБУР Холдинг,Химическая и нефтехимическая промышленность,AAA(RU),6.0,14.412,1.2563835616438355,5.0,127.9
"Ростелеком, 001P-15R",RU000A10B214,Ростелеком,Связь и телекоммуникация,AAA(RU),6.0,14.852,0.9187397260273972,5.0,128.10000000000002
"Сэтл Групп, 002Р-06",RU000A10C2L4,Сэтл Групп,Строительство зданий,A(RU),1.0,18.428,0.870958904109589,6.0,128.5
"РЖД, 001P-30R",RU000A107PU5,РЖД,Железнодорожный транспорт,AAA(RU),6.0,12.614,3.7366575342465755,5.0,128.6
"Газпромбанк, 005P-01P",RU000A107A28,Газпромбанк,Банки,AA+(RU),5.0,15.745,0.7047671232876712,6.0,128.6
"Сбербанк России, ИОС-BSK_FIX_MEM-5Y-001Р-526R",RU000A104KL2,Сбербанк России,Банки,AAA(RU),6.0,15.139,1.3397260273972602,3.0,128.9
"Почта России, БО-001P-06",RU000A100SZ3,Почта России,Почтовая и курьерская служба,AA(RU),4.0,18.969,0.5086301369863014,4.0,129.1
"ГТЛК, 001P-16",RU000A101GD3,ГТЛК,Лизинг и аренда,AA-(RU),3.0,15.96,1.381890410958904,6.0,129.1
"Росэксимбанк, 002Р-02",RU000A101T56,Росэксимбанк,Банки,AA+(RU),5.0,15.761,1.1634794520547946,5.0,130.3
"Альфа-Банк, 002Р-25",RU000A107AM4,Альфа-Банк,Банки,AA+(RU),5.0,15.22,0.7214520547945205,7.0,130.3
"ГТЛК, 001P-14",RU000A100FE5,ГТЛК,Лизинг и аренда,AA-(RU),3.0,18.36,0.5067123287671232,5.0,130.60000000000002
"ГТЛК, 001P-18",RU000A101SC0,ГТЛК,Лизинг и аренда,AA-(RU),3.0,17.936,1.197013698630137,4.0,131.8
"ВЭБ.РФ, 21",RU000A0JS4Z7,ВЭБ.РФ,Институты развития и государственные агентства,AAA(RU),6.0,13.577,1.3702465753424657,5.0,132.0
